A1,A2,A3,A4,A5,A6,A7,A8,A9,class
b,26.83,u,g,k,ff,0,f,g,bad
b,43.17,u,g,i,bb,0,f,g,bad
a,36.58,u,g,ff,ff,10,f,g,bad
b,23,y,p,aa,v,0,f,g,bad
b,30.17,y,p,c,v,0,f,g,bad
b,32.42,u,g,d,v,0,t,g,bad
b,28.25,u,g,m,v,3,t,g,good
a,32.17,u,g,w,v,16,f,g,good
b,21,y,p,w,v,1,t,g,good
a,36.75,u,g,ff,ff,0,f,g,bad
b,27.67,u,g,x,h,4,f,g,good
b,20,u,g,d,v,0,f,g,bad
a,24.75,u,g,q,h,0,f,g,bad
b,28.25,u,g,x,v,2,f,g,good
b,33.58,u,g,m,v,6,f,g,good
b,25.75,u,g,c,bb,0,f,g,good
b,28.17,y,p,k,v,0,f,g,bad
b,29.67,u,g,w,h,1,f,g,good
a,22.92,u,g,q,v,0,t,g,bad
b,35.25,y,p,c,v,0,f,g,bad
b,17.25,u,g,k,v,0,t,g,bad
a,23.75,u,g,w,v,1,t,g,bad
a,23.5,u,g,w,v,0,t,g,bad
b,29.42,u,g,w,v,0,f,g,bad
a,18.08,l,gg,cc,ff,0,t,s,good
b,34.08,u,g,aa,v,0,t,g,bad
b,44.25,u,g,m,v,0,f,s,bad
b,24.5,u,g,c,bb,2,f,g,good
a,20.83,y,p,e,dd,0,f,g,bad
a,22.42,y,p,x,h,4,f,g,good
b,33.17,u,g,x,v,7,t,g,good
b,27.83,y,p,i,h,2,t,g,bad
a,22.67,u,g,q,v,0,f,s,bad
b,42,u,g,x,h,8,f,g,good
b,45.17,u,g,c,v,0,t,g,bad
a,30.25,u,g,k,v,0,t,s,bad
a,49,u,g,j,j,0,t,g,bad
b,19,y,p,ff,ff,4,f,g,bad
b,36.08,u,g,ff,ff,0,f,g,bad
a,47.25,u,g,q,h,1,f,g,good
b,42,u,g,i,h,0,f,g,good
a,25,u,g,x,h,0,t,g,good
b,34.08,y,p,m,bb,1,t,g,good
b,22,y,p,i,bb,0,t,g,bad
b,22.75,u,g,q,v,7,t,g,good
a,45.83,u,g,q,v,7,t,g,good
b,56.58,u,g,d,bb,17,t,g,good
b,23.17,u,g,cc,v,0,f,g,good
b,44.33,u,g,i,h,0,t,g,good
a,19.67,u,g,q,h,11,f,g,good
b,22.08,u,g,k,v,0,t,g,bad
a,16.5,u,g,q,v,1,f,g,bad
b,31.568171,u,g,x,v,0,f,g,good
a,47.75,u,g,c,v,6,t,g,good
b,37.5,y,p,c,bb,0,t,g,bad
b,27,u,g,c,h,3,t,g,good
b,23.25,u,g,c,bb,0,t,g,good
b,33.58,y,p,cc,v,0,f,g,bad
a,27.17,u,g,ff,ff,1,f,g,bad
b,29.75,u,g,w,v,0,t,g,bad
b,48.5,u,g,m,v,0,t,g,good
b,39.25,u,g,m,v,14,f,g,good
b,16.25,u,g,m,v,0,f,s,bad
b,23.25,u,g,q,v,3,t,g,good
a,15.83,u,g,q,v,1,t,g,bad
a,15.92,u,g,q,v,0,f,g,bad
b,31.25,u,g,ff,ff,5,f,g,bad
b,43,y,p,cc,h,8,f,g,good
b,17.08,y,p,c,v,0,f,g,bad
b,35.58,u,g,k,v,0,t,g,bad
b,34,y,p,c,v,0,t,g,bad
b,34.58,u,g,c,v,0,f,p,bad
b,25,u,g,aa,v,0,t,s,good
b,31.568171,y,p,i,v,0,t,g,bad
a,33.08,u,g,q,h,2,f,g,good
b,23.25,u,g,c,v,0,f,s,good
a,31.75,y,p,j,j,0,f,g,bad
b,58.58,u,g,c,v,0,t,g,bad
b,32.33,u,g,k,v,0,t,g,bad
b,45,u,g,cc,h,1,t,g,good
a,38.25,u,g,k,v,0,t,g,good
b,24.58,u,g,w,v,0,t,g,bad
b,57.42,u,g,e,h,3,f,g,good
b,65.42,u,g,e,z,7,t,g,good
b,34.42,u,g,i,bb,0,t,g,bad
b,28.33,u,g,w,v,0,t,g,good
b,19.17,y,p,i,v,0,t,g,bad
b,20.67,y,p,c,h,3,t,g,bad
a,24.75,u,g,q,h,19,f,g,good
a,46,u,g,j,j,0,f,g,good
b,34.75,u,g,r,n,9,t,g,good
b,39.92,y,p,aa,v,3,f,g,good
a,19.17,y,p,aa,v,0,t,g,bad
a,37.33,u,g,i,h,0,f,g,bad
b,26.75,y,p,c,bb,0,f,g,bad
a,31.568171,u,g,ff,ff,2,t,g,bad
b,17.08,u,g,q,v,4,f,g,bad
b,36.67,u,g,q,h,0,t,g,good
b,18,u,g,q,n,0,f,g,good
b,19.42,y,p,cc,v,0,t,g,bad
b,42.5,y,p,w,v,0,t,g,good
b,20.42,u,g,c,v,1,f,g,good
b,23.08,u,g,i,v,9,f,g,good
b,19.33,u,g,q,v,0,t,g,good
b,36.75,y,p,c,v,0,t,g,good
a,19.5,u,g,q,v,0,t,g,bad
b,18.5,u,g,i,v,2,f,g,good
b,51.83,y,p,ff,ff,0,f,g,bad
b,47.67,u,g,m,bb,12,t,g,good
a,17.33,u,g,aa,v,10,t,g,bad
b,20.42,u,g,q,v,0,f,g,bad
b,27.25,u,g,cc,h,9,f,g,good
b,20.42,u,g,k,v,1,f,g,good
a,39.08,u,g,c,v,0,f,g,bad
a,38.92,u,g,aa,v,0,f,g,bad
b,37.33,u,g,m,h,12,t,g,good
b,22.83,u,g,m,v,1,f,g,good
b,19.5,u,g,k,v,0,f,g,bad
b,35.17,u,g,x,h,0,t,s,good
a,64.08,u,g,ff,ff,1,f,g,good
b,34.92,u,g,x,h,6,t,g,good
b,26.17,u,g,i,bb,0,t,g,good
b,36.42,y,p,d,v,0,f,g,bad
a,50.08,u,g,aa,v,3,t,g,good
b,40.25,u,g,e,z,11,f,g,good
a,21.5,u,g,aa,v,3,f,g,good
b,56.75,u,g,m,v,4,t,g,good
a,16.33,u,g,aa,v,0,f,g,bad
a,20.33,u,g,c,h,4,f,g,good
b,48.17,u,g,aa,v,0,f,s,good
b,37.5,y,p,d,v,0,t,g,good
b,41.17,u,g,cc,h,8,f,g,good
b,25,u,g,c,v,17,f,g,good
b,40.92,y,p,x,h,0,t,g,bad
b,22.92,y,p,c,v,0,f,g,bad
a,58.42,u,g,i,bb,13,f,g,good
b,27.25,u,g,cc,h,12,t,g,good
a,23,u,g,j,j,1,f,g,bad
b,36.25,u,g,c,bb,6,f,g,good
b,31.568171,y,p,aa,v,0,f,g,bad
b,29.25,u,g,d,h,0,f,g,bad
b,18.83,y,p,ff,ff,0,t,g,bad
a,25.17,u,g,x,h,0,f,g,good
a,18.83,u,g,w,v,6,t,g,good
a,38.58,u,g,cc,v,0,t,g,bad
b,31.568171,u,g,c,bb,0,t,s,bad
b,26,u,g,q,v,0,t,g,good
b,31.83,y,p,m,v,0,f,g,bad
b,21.08,y,p,i,h,0,f,g,bad
