A1,A2,A3,A4,A5,A6,A7,A8,A9,class
b,47.33,u,g,c,v,0,t,g,bad
b,29.5,y,p,e,h,0,f,g,bad
b,31.58,y,p,aa,v,0,t,g,bad
b,21.58,y,p,cc,v,0,f,g,bad
b,41.75,u,g,x,v,0,f,g,good
b,29.17,u,g,w,v,3,t,g,bad
b,35,u,g,c,h,0,t,g,bad
b,28,u,g,w,v,0,t,g,bad
b,22.58,y,p,aa,v,0,t,g,bad
a,41.33,u,g,i,bb,0,t,g,good
b,24.58,u,g,c,v,0,f,g,bad
b,21.08,y,p,e,h,0,f,g,bad
b,31.92,u,g,cc,h,3,f,g,good
a,25.33,u,g,c,h,0,t,g,bad
b,69.17,u,g,ff,ff,1,f,g,bad
b,57.83,u,g,m,v,6,t,g,good
b,44,u,g,m,v,2,t,g,good
b,44.25,y,p,d,v,0,f,s,bad
a,56.83,y,p,ff,ff,0,t,g,bad
b,39.92,u,g,q,v,1,f,g,good
b,41.17,y,p,w,v,0,f,g,bad
b,21.17,y,p,c,h,0,f,g,bad
b,80.25,u,g,c,v,0,f,g,bad
b,36.33,u,g,w,v,0,t,g,bad
b,19.67,u,g,q,v,2,t,g,good
b,22.5,y,p,k,v,0,f,g,bad
b,31.08,y,p,w,v,0,f,s,bad
b,20.5,u,g,c,v,11,t,g,good
b,43.17,u,g,i,bb,0,t,g,bad
b,21.5,u,g,i,v,0,t,g,bad
b,25.67,y,p,aa,v,0,f,g,bad
b,22.08,u,g,k,v,0,f,g,bad
b,21.67,y,p,k,v,1,f,g,bad
a,38.75,u,g,ff,ff,0,f,g,bad
b,20.67,y,p,c,v,0,t,s,bad
b,16.33,u,g,aa,v,1,f,g,bad
a,21.75,u,g,c,v,0,t,g,bad
b,17.58,u,g,w,h,1,f,g,bad
b,34.25,u,g,cc,h,0,t,g,good
b,29.58,u,g,m,v,1,t,g,bad
b,23.58,u,g,i,h,0,t,g,bad
b,27.83,y,p,d,h,0,f,g,bad
a,23.58,u,g,q,v,1,t,g,bad
b,23.58,u,g,c,v,0,t,g,bad
a,19.17,u,g,cc,h,7,f,g,good
b,16.17,u,g,c,v,0,f,g,good
a,28.58,u,g,i,bb,0,t,g,bad
a,18.92,y,p,c,v,4,t,g,good
a,21.08,y,p,ff,ff,0,f,g,bad
b,40,u,g,aa,bb,1,f,g,good
b,18.08,y,p,m,v,0,f,g,bad
b,27,y,p,w,v,0,t,g,good
b,22.58,u,g,x,v,9,f,g,good
b,43.08,y,p,c,v,8,t,g,good
b,20,u,g,c,v,0,t,g,bad
b,22.67,u,g,i,v,1,t,g,bad
b,36.17,y,p,w,v,0,t,g,bad
b,51.83,y,p,ff,ff,0,f,g,bad
b,25.08,u,g,x,v,1,t,g,good
b,26.17,y,p,k,h,0,t,g,bad
a,20.75,u,g,cc,h,1,t,g,good
b,22.25,u,g,k,v,0,t,g,bad
b,25.92,u,g,k,v,2,t,g,bad
b,33.5,u,g,x,h,4,t,g,good
a,25.25,y,p,ff,ff,1,t,g,bad
b,26.67,y,p,c,v,5,t,g,good
a,24.83,u,g,w,v,0,t,g,bad
b,18.58,u,g,d,v,0,f,g,bad
a,19.75,u,g,c,v,5,t,g,bad
a,38.33,u,g,c,v,0,f,g,bad
a,22.5,y,p,q,v,0,t,g,bad
b,23.42,u,g,c,v,0,t,s,bad
b,30.17,u,g,c,v,11,f,g,good
b,43.25,u,g,q,h,1,f,g,bad
b,19.67,y,p,k,h,0,t,g,bad
b,24.58,y,p,ff,ff,0,f,g,bad
b,47.83,u,g,x,bb,0,t,g,bad
a,44.33,u,g,c,v,0,f,g,good
a,24.08,u,g,q,h,1,f,g,good
b,53.92,u,g,e,v,5,f,g,good
b,39.33,u,g,cc,h,14,t,g,good
b,42.83,u,g,m,v,1,t,g,bad
b,41.92,u,g,c,h,6,f,g,good
a,27.67,u,g,w,v,0,t,g,bad
a,20.75,u,g,q,v,2,t,g,good
a,23.58,y,p,k,h,0,t,g,bad
b,15.17,u,g,e,v,0,f,g,bad
b,38.58,u,g,w,v,14,f,g,good
b,23.92,u,g,d,h,6,f,g,good
b,17.08,u,g,i,v,0,t,g,bad
b,26.92,u,g,i,bb,0,t,g,bad
b,29.67,y,p,c,v,0,f,g,bad
b,31.67,u,g,x,v,8,t,g,good
b,48.08,u,g,i,bb,0,f,g,bad
b,32,y,p,e,h,0,t,g,good
b,47.17,u,g,w,v,0,f,g,bad
b,34.75,u,g,cc,bb,0,f,g,bad
b,20.67,u,g,q,v,1,f,g,bad
a,17.67,y,p,j,ff,0,f,g,bad
b,39.17,u,g,c,v,10,f,g,good
a,58.33,u,g,q,v,14,f,g,good
a,40.33,y,p,q,h,14,f,g,good
a,17.58,u,g,aa,v,0,t,g,good
a,20.42,y,p,x,h,0,t,g,bad
b,62.5,y,p,c,h,0,f,g,bad
b,26.67,u,g,i,bb,0,t,g,bad
b,30.83,u,g,w,v,1,f,g,good
b,48.58,y,p,k,v,11,f,g,good
b,48.17,u,g,w,h,12,f,g,good
a,20.08,u,g,c,v,0,f,g,bad
b,30.58,y,p,m,v,0,t,s,bad
b,37.75,u,g,q,h,7,t,g,bad
b,27.67,u,g,q,h,0,t,g,bad
b,34.17,u,g,i,bb,0,t,g,bad
a,21.25,u,g,i,bb,4,f,s,good
b,33.17,y,p,cc,v,0,t,g,bad
b,23.92,y,p,cc,h,0,f,g,bad
b,18.08,u,g,k,v,0,f,g,good
a,31.92,u,g,ff,ff,2,t,g,bad
b,25.83,u,g,cc,v,0,f,g,bad
b,32.33,u,g,e,bb,0,t,s,bad
b,42.17,u,g,q,h,0,t,g,good
b,22,u,g,w,v,1,f,g,bad
b,52.42,u,g,d,v,0,t,g,bad
b,27.83,u,g,w,v,5,t,g,good
a,20.83,u,g,c,v,0,f,g,bad
b,32.25,y,p,c,h,1,t,g,good
b,32.42,y,p,k,ff,0,f,g,bad
b,39.08,u,g,m,v,5,t,g,good
b,34.92,u,g,w,v,0,t,g,good
b,34.83,u,g,d,bb,0,t,g,bad
b,22.5,y,p,m,v,0,t,g,bad
a,29.5,y,p,x,v,0,f,g,bad
b,20.08,u,g,q,v,0,f,g,bad
a,33.67,u,g,cc,v,0,f,g,good
b,36.5,u,g,q,v,0,f,g,bad
b,20.25,u,g,e,dd,0,f,g,good
a,29.5,u,g,k,v,4,f,g,good
b,22.17,y,p,ff,ff,0,f,g,bad
a,23.42,y,p,q,v,2,t,g,good
a,58.67,u,g,q,h,6,f,g,good
a,28.5,y,p,x,h,1,f,g,good
a,49.83,u,g,k,h,0,t,g,good
b,18.83,u,g,q,v,0,f,g,bad
a,25.42,u,g,q,v,2,f,g,bad
b,18.33,y,p,e,dd,0,f,g,bad
b,41.17,u,g,d,v,0,f,g,bad
a,18.92,u,g,aa,v,2,f,g,good
b,26.67,y,p,cc,v,1,f,g,good
b,31.83,u,g,aa,v,0,t,g,bad
b,23.33,y,p,w,v,0,t,g,good
a,20.75,u,g,i,v,0,f,g,bad
b,48.33,u,g,m,v,0,f,s,good
b,20,u,g,c,v,0,f,g,bad
a,52.17,y,p,ff,ff,0,f,g,bad
b,38.42,u,g,c,v,2,f,g,bad
b,73.42,u,g,ff,ff,0,t,g,good
b,39.58,u,g,w,v,6,t,g,good
b,23.75,u,g,c,v,0,f,s,bad
b,34.67,u,g,m,v,0,f,s,bad
b,32.75,u,g,d,h,0,t,g,bad
a,22.5,u,g,q,v,10,f,g,bad
a,36.75,u,g,e,v,0,t,g,good
a,41.58,u,g,aa,v,0,f,g,bad
a,16,u,g,aa,v,2,t,g,bad
a,24.5,y,p,ff,ff,3,f,g,bad
b,21.92,u,g,c,v,0,f,g,bad
b,31.568171,u,g,x,v,3,t,g,good
b,45.33,u,g,q,v,0,t,g,bad
b,31.568171,y,p,d,v,0,t,g,bad
b,35,u,g,i,v,0,t,g,bad
a,25.58,u,g,c,v,0,f,p,good
a,37.75,u,g,q,v,0,t,g,good
b,38.67,u,g,k,v,0,t,g,good
a,30,u,g,e,dd,5,t,g,good
b,22.17,u,g,c,v,2,t,g,bad
a,65.17,u,g,ff,ff,11,t,g,good
b,16,u,g,w,v,1,f,g,bad
a,41.17,u,g,q,v,3,t,g,good
b,40.92,y,p,m,v,0,t,g,bad
b,63.33,u,g,c,v,3,t,g,bad
b,29.92,u,g,c,h,0,f,g,good
b,33.67,u,g,c,v,0,f,p,bad
b,51.58,u,g,c,v,9,f,g,good
b,20.42,u,g,c,v,3,f,g,good
b,24.42,u,g,e,dd,2,f,g,bad
a,26.58,y,p,ff,ff,0,t,g,bad
a,27.58,u,g,m,v,1,t,g,bad
a,27.67,u,g,m,v,0,f,s,bad
b,39.42,y,p,m,v,0,f,s,bad
b,22.67,y,p,w,v,6,f,g,good
b,41,u,g,e,v,1,f,s,good
b,16.33,u,g,i,h,0,t,g,bad
b,38.25,y,p,k,v,0,f,g,bad
b,36.17,u,g,i,bb,0,f,g,bad
b,38.17,u,g,x,v,6,f,g,good
a,50.25,u,g,aa,v,0,t,g,bad
b,31.568171,u,g,k,v,0,f,g,bad
b,33.17,u,g,r,h,0,t,g,good
a,26.92,u,g,q,h,2,f,g,good
a,19.17,u,g,i,h,0,f,g,bad
b,24.33,y,p,d,v,0,t,s,good
b,19.42,u,g,m,v,1,f,g,bad
a,34.83,y,p,i,h,0,t,g,bad
a,23.58,y,p,ff,ff,0,f,g,bad
b,40.83,u,g,i,bb,0,f,s,bad
a,24.75,u,g,aa,v,12,t,g,good
a,22.67,u,g,i,v,0,f,g,bad
b,21.17,y,p,c,h,0,f,g,bad
b,35.25,u,g,x,h,0,t,g,bad
a,29.58,y,p,k,v,0,t,g,bad
a,18.83,y,p,c,h,0,f,g,good
b,39.17,u,g,x,v,5,t,g,good
b,32.83,u,g,cc,h,6,f,g,good
a,16.08,u,g,ff,ff,1,f,g,bad
a,33.75,u,g,k,bb,3,t,g,bad
a,33.25,y,p,aa,v,0,f,g,bad
b,52.5,u,g,k,v,15,f,g,good
b,34.17,u,g,cc,v,1,t,g,good
b,34.25,u,g,w,bb,0,t,g,bad
b,31.568171,u,g,d,v,0,t,s,bad
b,37.17,u,g,c,bb,0,t,s,bad
b,62.75,u,g,e,z,0,f,g,bad
a,18.58,u,g,d,v,0,f,g,bad
a,30.5,u,g,c,bb,7,t,g,good
a,30.42,u,g,w,h,3,f,g,bad
b,25.75,u,g,c,v,5,t,g,good
b,74.83,y,p,ff,ff,2,f,g,bad
a,18.42,u,g,q,v,4,f,g,good
b,25.42,u,g,w,v,1,f,g,bad
a,41,y,p,q,h,23,t,g,good
b,18.42,y,p,aa,v,0,f,g,bad
a,28.08,y,p,e,z,0,f,g,good
b,18.83,y,p,c,v,1,f,g,bad
a,31.568171,u,g,ff,ff,0,f,g,bad
b,28.75,u,g,k,v,0,f,s,bad
b,19.33,u,g,c,bb,2,t,g,bad
b,28,u,g,k,h,2,t,g,good
a,33.08,u,g,d,v,0,t,g,bad
b,21.83,u,g,k,v,0,t,g,bad
b,54.58,u,g,ff,ff,11,t,g,good
a,24.5,y,p,c,v,0,f,g,bad
a,33.92,y,p,ff,ff,0,f,g,bad
b,37.58,u,g,c,v,0,f,p,good
b,21.42,y,p,r,n,0,t,g,bad
b,20.17,u,g,w,v,0,f,s,good
b,25.33,u,g,c,v,7,t,g,good
a,24.5,u,g,q,h,0,f,g,good
b,21.25,u,g,w,v,0,f,g,good
b,41.42,u,g,q,h,6,t,g,good
b,36.33,y,p,w,v,1,f,g,good
b,27.42,u,g,aa,bb,0,t,g,bad
b,23.08,u,g,w,h,11,t,g,good
b,19.42,u,g,w,h,7,f,g,good
b,32.25,y,p,ff,ff,2,f,g,bad
a,28.67,u,g,c,v,5,t,g,good
a,20.5,u,g,c,h,0,f,g,good
a,28.75,u,g,c,v,1,t,g,good
b,18.58,u,g,ff,ff,0,f,g,bad
b,54.42,y,p,k,h,0,f,g,good
b,33.17,y,p,x,v,3,t,g,good
b,26.33,u,g,e,dd,0,t,g,bad
b,51.42,u,g,x,h,0,f,g,good
b,34,y,p,i,bb,0,t,g,bad
b,21,y,p,d,v,8,t,g,good
b,36.67,u,g,i,v,0,t,g,bad
a,69.5,u,g,ff,ff,0,f,s,bad
b,48.08,u,g,k,v,0,f,g,good
b,34.5,y,p,i,bb,7,t,g,good
b,17.5,l,gg,ff,o,0,t,p,good
b,32.67,u,g,q,h,12,t,g,good
a,25.08,y,p,aa,v,0,t,g,good
b,28.25,y,p,c,bb,8,t,g,good
b,41.5,u,g,i,bb,0,f,g,good
b,23.5,y,p,k,v,1,t,g,bad
a,46.08,u,g,c,v,8,t,g,good
b,25.25,u,g,aa,v,0,f,g,bad
b,21.5,u,g,c,v,0,f,g,bad
b,23.25,u,g,c,v,2,f,g,bad
a,15.75,u,g,c,v,0,f,g,bad
b,31.67,u,g,d,v,9,f,g,good
b,33.67,u,g,w,v,0,f,g,bad
b,33.75,u,g,i,bb,0,f,g,bad
a,48.17,u,g,i,o,0,f,g,bad
b,34.17,u,g,c,v,12,t,g,good
b,22.25,u,g,aa,v,0,f,g,bad
b,21.33,u,g,aa,v,1,f,g,good
b,18.25,u,g,d,v,0,t,s,bad
b,39.92,u,g,i,bb,0,f,g,bad
b,25.67,y,p,c,v,0,t,g,bad
b,16.92,y,p,k,v,0,f,s,bad
a,16.92,u,g,i,v,6,t,g,bad
b,37.33,u,g,cc,v,0,t,g,bad
a,28.42,u,g,w,v,0,f,s,good
a,32.33,u,g,cc,v,0,f,g,good
b,51.33,u,g,i,bb,11,f,g,good
b,28.17,u,g,aa,v,0,f,g,bad
a,20.67,u,g,q,v,5,f,g,good
b,16.5,u,g,c,v,0,f,g,bad
b,22.33,u,g,w,v,1,f,g,good
b,34,u,g,aa,v,0,t,g,bad
b,16.08,u,g,c,v,5,t,g,good
a,20.42,u,g,q,v,1,f,g,good
b,60.08,u,g,ff,ff,15,t,g,good
b,30.17,u,g,cc,v,8,f,g,good
b,29.25,u,g,aa,v,5,t,g,good
b,25,u,g,k,v,2,t,g,bad
a,23,u,g,x,h,2,t,g,good
a,40.33,y,p,k,v,2,f,g,bad
b,27.67,u,g,w,v,0,t,g,good
b,43.25,u,g,q,h,11,f,g,good
a,20.83,u,g,aa,v,0,f,g,good
b,30.67,u,g,cc,h,0,t,s,bad
b,22.92,u,g,m,v,0,f,s,bad
a,31.568171,u,g,d,v,0,t,g,bad
a,22.75,u,g,aa,v,0,f,g,bad
b,39.83,u,g,m,v,0,f,s,bad
b,22.67,y,p,c,h,0,f,g,good
a,30.58,u,g,q,h,12,t,g,bad
b,17.42,u,g,i,v,0,f,g,bad
a,22.25,y,p,ff,ff,0,f,g,bad
a,17.92,u,g,c,v,1,t,g,bad
b,23.17,u,g,c,v,0,f,p,good
b,25.17,u,g,c,v,1,f,g,bad
b,48.75,u,g,c,h,9,f,g,good
b,31.08,u,g,c,v,2,t,g,bad
b,16.25,y,p,aa,v,0,f,g,bad
b,28.92,u,g,c,h,11,f,g,good
b,23.33,u,g,c,h,0,f,g,good
b,31.25,u,g,ff,ff,1,f,g,bad
a,18.17,y,p,q,h,0,f,g,bad
b,39,u,g,cc,v,10,t,g,good
b,30.08,y,p,i,bb,10,t,g,bad
a,24.58,u,g,aa,h,0,f,g,bad
a,21.92,u,g,k,h,0,f,g,bad
b,42.75,u,g,i,bb,0,f,g,bad
b,23.58,y,p,w,v,6,t,g,bad
b,20,y,p,k,v,0,f,g,bad
b,20.17,u,g,c,v,3,t,g,good
b,24.42,u,g,q,h,0,t,g,good
b,23,u,g,m,v,0,t,s,bad
a,57.58,u,g,ff,ff,1,f,g,bad
a,22.42,u,g,q,v,7,f,g,good
b,28.67,u,g,q,h,6,f,g,good
b,48.75,y,p,ff,ff,0,t,g,bad
b,36.17,u,g,w,v,0,f,g,bad
a,36,u,g,c,v,11,f,g,good
a,26.08,u,g,aa,v,0,f,g,good
a,44.17,u,g,q,v,3,t,g,good
b,21.17,u,g,c,v,0,t,s,bad
a,27.33,u,g,ff,ff,0,f,g,bad
a,25.75,u,g,c,h,0,t,g,good
b,24.17,u,g,q,v,2,t,g,good
b,22.08,u,g,cc,v,0,f,g,good
a,35.75,u,g,aa,v,4,f,g,good
b,20.67,u,g,c,v,0,f,g,bad
b,21.83,u,g,d,h,0,t,g,good
b,42.08,u,g,w,v,6,t,g,good
a,19.58,u,g,w,v,0,f,g,bad
b,24.08,u,g,m,v,4,f,g,bad
b,32.75,u,g,cc,h,3,t,g,good
a,18.83,u,g,aa,v,0,f,g,good
a,68.67,u,g,e,z,14,f,g,good
a,17.92,u,g,ff,ff,0,f,g,bad
a,32,u,g,d,v,0,f,g,bad
b,23.42,u,g,c,h,0,f,g,bad
b,22.67,u,g,q,h,0,f,g,good
b,29.58,u,g,w,v,2,t,g,good
